Регион,ЗП,Округ
Белгородская область,62808,Центральный округ
Брянская область,53997,Центральный округ
Владимирская область,58976,Центральный округ
Воронежская область,59620,Центральный округ
Ивановская область,46488,Центральный округ
Калужская область,67426,Центральный округ
Костромская область,53154,Центральный округ
Курская область,59250,Центральный округ
Липецкая область,66736,Центральный округ
Московская область,94983,Центральный округ
Орловская область,52089,Центральный округ
Рязанская область,61641,Центральный округ
Смоленская область,54941,Центральный округ
Тамбовская область,51773,Центральный округ
Тверская область,59928,Центральный округ
Тульская область,66607,Центральный округ
Ярославская область,62338,Центральный округ
г.Москва ,179097,Центральный округ
Республика Карелия,73130,Северо-Западный округ
Республика Коми,82660,Северо-Западный округ
Архангельская область,81352,Северо-Западный округ
в том числе Ненецкий авт.округ,130307,Северо-Западный округ
Архангельская область без авт. округа.,77004,Северо-Западный округ
Вологодская область,77140,Северо-Западный округ
Калининградская область,59912,Северо-Западный округ
Ленинградская область,77580,Северо-Западный округ
Мурманская область,111827,Северо-Западный округ
Новгородская область,59105,Северо-Западный округ
Псковская область,50291,Северо-Западный округ
г.Санкт-Петербург,104108,Северо-Западный округ
Республика Адыгея,51691,Южный округ
Республика Калмыкия,46412,Южный округ
Республика Крым,50285,Южный округ
Краснодарский край,64058,Южный округ
Астраханская область,55980,Южный округ
Волгоградская область,55356,Южный округ
Ростовская область,58569,Южный округ
г.Севастополь,54846,Южный округ
Республика Дагестан,42213,Северо-Кавказский округ
Республика Ингушетия,40622,Северо-Кавказский округ
Кабардино-Балкарская Республика,43233,Северо-Кавказский округ
Карачаево-Черкесская Республика,45489,Северо-Кавказский округ
Республика Северная  Осетия - Алания,44389,Северо-Кавказский округ
Чеченская Республика,40644,Северо-Кавказский округ
Ставропольский край,54386,Северо-Кавказский округ
Республика Башкортостан,67183,Приволжский округ
Республика Марий Эл,54783,Приволжский округ
Республика Мордовия,52787,Приволжский округ
Республика Татарстан,72410,Приволжский округ
Удмуртская Республика,62513,Приволжский округ
Чувашская Республика,56825,Приволжский округ
Пермский край,69081,Приволжский округ
Кировская область,54024,Приволжский округ
Нижегородская область,63033,Приволжский округ
Оренбургская область,63515,Приволжский округ
Пензенская область,54304,Приволжский округ
Самарская область,70626,Приволжский округ
Саратовская область,54873,Приволжский округ
Ульяновская область,55374,Приволжский округ
Курганская область,58368,Уральский округ
Свердловская область,73443,Уральский округ
Тюменская область,126754,Уральский округ
Ханты-Мансийский  авт. округ - Югра,132624,Уральский округ
Ямало-Ненецкий авт. округ,169290,Уральский округ
Тюменская область без авт. округов,83402,Уральский округ
Челябинская область,67450,Уральский округ
Республика Алтай,57011,Сибирский округ
Республика Тыва,62937,Сибирский округ
Республика Хакасия,65936,Сибирский округ
Алтайский край,50630,Сибирский округ
Красноярский край,98284,Сибирский округ
Иркутская область,90343,Сибирский округ
Кемеровская область - Кузбасс,74410,Сибирский округ
Новосибирская область,71226,Сибирский округ
Омская область,59358,Сибирский округ
Томская область,74403,Сибирский округ
Республика Бурятия,68800,Дальневосточный округ
Республика Саха (Якутия),123431,Дальневосточный округ
Забайкальский край,76570,Дальневосточный округ
Камчатский край,118607,Дальневосточный округ
Приморский край,78851,Дальневосточный округ
Хабаровский край,79417,Дальневосточный округ
Амурская область,79083,Дальневосточный округ
Магаданская область,142705,Дальневосточный округ
Сахалинская область,127570,Дальневосточный округ
Еврейская авт.область,70826,Дальневосточный округ
Чукотский авт.округ,188702,Дальневосточный округ
Кемеровская область,74410,Сибирский округ
Удмуртская республика,62513,Приволжский округ
Ханты-Мансийский автономный округ - Югра,132624,Уральский округ
Санкт-Петербург,104108,Северо-Западный округ
Республика Северная Осетия - Алания,44389,Северо-Кавказский округ
Чеченская республика,40644,Северо-Кавказский округ
Кабардино-Балкарская республика,43233,Северо-Кавказский округ
Карачаево-Черкесская республика,45489,Северо-Кавказский округ
Чувашская республика,56825,Приволжский округ
Москва,179097,Центральный округ
Ямало-Ненецкий автономный округ,169290,Уральский округ
Еврейская автономная область,70826,Дальневосточный округ
Севастополь,54846,Южный округ
Ненецкий автономный округ,169290,Уральский округ
Чукотский автономный округ,188702,Дальневосточный округ
